매체유형,n,개인평균,논조평균,격차,t,논조좌표
경제일간,292,4.99,6.82,1.83,12.3,0.364
전국종합일간I,337,4.61,6.08,1.47,11.81,0.217
스포츠일간,23,3.91,5.3,1.39,2.48,0.061
뉴스통신사,163,4.66,5.78,1.12,5.82,0.156
지상파방송사,151,4.28,5.38,1.1,4.0,0.075
지역종합일간,417,4.79,5.74,0.94,7.17,0.147
종편/보도전문채널,105,5.13,6.06,0.92,3.04,0.211
지역방송사,86,4.16,5.0,0.84,2.8,0.0
인터넷언론사-1군,53,3.96,4.66,0.7,1.66,-0.068
인터넷언론사-2군,121,4.64,5.11,0.46,1.82,0.021
인터넷언론사-3군,181,4.47,4.81,0.34,2.04,-0.038
라디오방송사,37,4.16,4.16,0.0,0.0,-0.168
전국종합일간II,52,4.46,4.4,-0.06,-0.13,-0.119
전체,2020,4.64,5.7,1.05,17.49,
